"VNRO","PKOKO"
"006477",6
"006488",15
"006500",10
"006516",4
"006521",6
"006522",3
"006532",15
"006547",10
"006558",20
"006585",30
"006593",75
"006619",30
"006627",100
"006635",30
"006643",100
"006656",100
"006670",28
"006672",28
"006684",25
"006690",30
"006716",24
"006730",10
"006732",1
"006750",98
"006753",30
"006756",30
"006758",60
"006761",7
"006764",100
"006773",30
"006780",30
"006781",60
"006786",100
"006787",100
"006788",100
"006798",4.5
"006799",100
"006810",20
"006814",100
"006815",100
"006818",20
"006825",5
"006826",20
"006827",4
"006849",4
"006860",4
"006899",50
"006903",28
"006914",28
"006915",4
"006921",100
"006922",56
"006928",98
"006930",100
"006937",4
"006941",1
"006944",56
"006948",4
"006970",4
"006976",30
"006980",30
"006988",1
"006989",20
"006992",4
"006998",30
"007002",1
"007003",4
"007007",10
"007009",20
"007015",5
"007016",10
"007030",25
"007036",50
"007039",30
"007040",30
"007050",30
"007051",100
"007061",20
"007064",30
"007072",30
"007073",100
"007083",20
"007084",30
"007097",100
"007098",30
"007099",28
"007102",150
"007104",100
"007107",100
"007108",100
"007109",35
"007111",100
"007113",14
"007118",30
"007119",30
"007120",30
"007123",180
"007128",120
"007129",100
"007133",98
"007134",100
"007138",100
"007140",30
"007144",28
"007149",30
"007155",98
"007157",20
"007161",100
"007165",100
"007166",28
"007168",30
"007181",20
"007186",98
"007187",10
"007190",30
"007211",30
"007215",50
"007223",1
"007228",42
"007252",10
"007260",10
"007264",20
"007268",1
"007271",90
"007273",100
"007274",30
"007275",3
"007282",30
"007293",90
"007294",30
"007297",204
"007298",100
"007302",100
"007320",20
"007336",28
"007344",50
"007345",20
"007353",20
"007362",100
"007378",10
"007385",20
"007439",1
"007449",5
"007458",100
"007462",250
"007468",98
"007475",200
"007516",60
"007519",100
"007523",10
"007534",28
"007544",30
"007549",60
"007556",1
"007559",98
"007575",28
"007581",8
"007589",28
"007600",98
"007601",3.5
"007609",28
"007611",8
"007613",98
"007623",25
"007625",10
"007631",8
"007659",28
"007670",98
"007690",500
"007708",50
"007730",30
"007743",10
"007781",98
"007812",12
"007826",6
"007839",5
"007888",10
"007892",8
"007902",20
"007908",10
"007912",7
"007913",10
"007920",2.5
"007921",5
"007924",20
"007952",7.5
"007963",14
"007971",30
"007985",30
"007996",50
"008001",100
"008023",30
"008024",100
"008026",20
"008034",120
"008035",50
"008046",100
"008049",30
"008050",100
"008051",98
"008056",100
"008060",15
"008072",98
"008074",98
"008078",100
"008086",30
"008094",50
"008098",28
"008100",30
"008102",100
"008103",30
"008112",28
"008116",7
"008117",40
"008120",90
"008155",20
"008163",24
"008167",20
"008172",24
"008173",100
"008183",100
"008193",100
"008219",20
"008227",10
"008235",50
"008248",7
"008259",100
"008262",60
"008284",60
"008289",10
"008298",60
"008300",98
"008305",100
"008307",60
"008311",20
"008318",28
"008322",10
"008333",100
"008334",98
"008344",20
"008367",15
"008383",30
"008398",28
"008409",50
"008414",1
"008424",98
"008425",100
"008429",90
"008431",20
"008437",28
"008452",98
"008458",50
"008466",100
"008468",14
"008474",100
"008482",14
"008490",100
"008519",100
"008540",14
"008548",10
"008571",200
"008585",10
"008593",28
"008600",4
"008604",56
"008611",4
"008615",50
"008622",25
"008641",100
"008664",100
"008673",10
"008674",30
"008675",4
"008682",50
"008685",7
"008688",30
"008699",100
"008733",7
"008739",6
"008741",14
"008750",5
"008758",30
"008761",500
"008765",100
"008766",100
"008767",4
"008769",100
"008770",100
"008777",100
"008778",14
"008781",3
"008782",4
"008783",20
"008787",10
"008790",100
"008791",10
"008795",5
"008802",30
"008811",10
"008815",100
"008816",60
"008831",15
"008842",30
"008850",100
"008862",100
"008865",98
"008883",10
"008888",28
"008896",20
"008900",100
"008903",1
"008909",28
"008911",250
"008920",28
"008927",4
"008938",5
"008942",100
"008950",8
"008953",30
"008961",200
"008962",250
"008964",30
"008967",100
"008970",12
"008972",10
"008974",10
"008976",14
"008978",30
"008986",100
"008987",30
"008995",50
"008997",250
"009019",30
"009037",30
"009041",100
"009049",60
"009050",100
"009052",30
"009059",90
"009063",100
"009064",100
"009065",30
"009068",10
"009074",30
"009078",30
"009079",100
"009083",12
"009086",30
"009092",60
"009099",60
"009101",30
"009109",10
"009113",4
"009117",100
"009125",90
"009132",20
"009146",30
"009148",10
"009154",10
"009168",20
"009171",20
"009174",30
"009176",30
"009185",100
"009189",50
"009192",5
"009196",100
"009199",50
"009209",100
"009213",4
"009216",4
"009217",30
"009220",100
"009235",14
"009246",20
"009285",30
"009287",30
"009290",56
"009292",20
"009298",100
"009303",7
"009304",50
"009309",30
"009314",10
"009316",10
"009323",12
"009324",100
"009333",28
"009334",12
"009347",30
"009357",98
"009358",60
"009364",28
"009373",100
"009380",30
"009384",10
"009385",28
"009393",20
"009395",100
"009399",30
"009404",10
"009406",10
"009414",10
"009417",20
"009419",30
"009420",100
"009426",20
"009428",100
"009433",100
"009439",28
"009441",30
"009448",30
"009450",56
"009459",100
"009470",30
"009474",98
"009480",200
"009481",100
"009490",30
"009492",30
"009498",100
"009503",100
"009506",30
"009514",30
"009525",4
"009560",4
